title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
The Wild Robot,78000000,331982078,102,"['Animation', 'Science Fiction', 'Family']",55.9944,8.3,4981,True,Chris Sanders,Lupita Nyong'o,253982078,0.765047557778104,2024,DreamWorks Animation,Animation,Science Fiction,Family
Deadpool & Wolverine,200000000,1338073645,128,"['Action', 'Comedy', 'Science Fiction']",55.2215,7.595,7307,True,Shawn Levy,Ryan Reynolds,1138073645,0.8505313958261244,2024,Marvel Studios,Action,Comedy,Science Fiction
Venom: The Last Dance,120000000,478103649,109,"['Action', 'Science Fiction', 'Adventure']",54.4834,6.735,3426,True,Kelly Marcel,Tom Hardy,358103649,0.7490083996409741,2024,Columbia Pictures,Action,Science Fiction,Adventure
Inside Out 2,200000000,1698863816,97,"['Animation', 'Adventure', 'Comedy', 'Family']",48.8487,7.554,5882,True,Kelsey Mann,Amy Poehler,1498863816,0.8822742599398562,2024,Walt Disney Pictures,Animation,Adventure,Comedy
Black Widow,200000000,379751131,134,"['Action', 'Adventure', 'Science Fiction']",47.7617,7.207,10561,False,Cate Shortland,Scarlett Johansson,179751131,0.4733392907261677,2021,Marvel Studios,Action,Adventure,Science Fiction
Kung Fu Panda 4,80000000,548040835,94,"['Animation', 'Family', 'Action', 'Comedy', 'Adventure', 'Fantasy']",46.5234,7.061,3094,True,Mike Mitchell,Jack Black,468040835,0.8540254760395729,2024,DreamWorks Animation,Animation,Family,Action
Gladiator II,310000000,462180717,148,"['Action', 'Adventure', 'Drama']",44.7517,6.733,3429,True,Ridley Scott,Paul Mescal,152180717,0.3292666946120126,2024,Paramount Pictures,Action,Adventure,Drama
Blade Runner 2049,150000000,259239658,164,"['Science Fiction', 'Drama']",44.4509,7.581,14150,True,Denis Villeneuve,Ryan Gosling,109239658,0.4213848253109484,2017,Alcon Entertainment,Science Fiction,Drama,
Kraven the Hunter,120000000,59184643,127,"['Action', 'Adventure', 'Thriller']",42.4836,6.555,1718,False,J.C. Chandor,Aaron Taylor-Johnson,-60815357,-1.0275529920827604,2024,Columbia Pictures,Action,Adventure,Thriller
Final Destination 2,26000000,90941129,90,"['Horror', 'Mystery']",41.8763,6.3,4341,True,David R. Ellis,Ali Larter,64941129,0.7141007563255565,2003,New Line Cinema,Horror,Mystery,
The Avengers,220000000,1518815515,143,"['Science Fiction', 'Action', 'Adventure']",40.0916,7.754,31937,True,Joss Whedon,Robert Downey Jr.,1298815515,0.855150281369097,2012,Marvel Studios,Science Fiction,Action,Adventure
Avengers: Infinity War,300000000,2052415039,149,"['Adventure', 'Action', 'Science Fiction']",39.3811,8.236,30576,True,Joe Russo,Robert Downey Jr.,1752415039,0.8538307338918305,2018,Marvel Studios,Adventure,Action,Science Fiction
Harry Potter and the Philosopher's Stone,125000000,976475550,152,"['Adventure', 'Fantasy']",39.3468,7.902,28242,True,Chris Columbus,Daniel Radcliffe,851475550,0.871988602274783,2001,Warner Bros. Pictures,Adventure,Fantasy,
Final Destination 3,25000000,118890272,92,"['Horror', 'Mystery']",38.8511,6.1,4114,True,James Wong,Mary Elizabeth Winstead,93890272,0.789722072466955,2006,New Line Cinema,Horror,Mystery,
The Substance,17500000,76506196,141,"['Horror', 'Science Fiction']",37.2463,7.142,4683,False,Coralie Fargeat,Demi Moore,59006196,0.7712603564814541,2024,Working Title Films,Horror,Science Fiction,
Mission: Impossible - Fallout,178000000,791658205,147,"['Action', 'Adventure']",37.1216,7.4,8532,True,Christopher McQuarrie,Tom Cruise,613658205,0.7751554915040639,2018,Paramount Pictures,Action,Adventure,
Oppenheimer,100000000,952000000,181,"['Drama', 'History']",36.8991,8.057,10281,False,Christopher Nolan,Cillian Murphy,852000000,0.8949579831932774,2023,Syncopy,Drama,History,
The Final Destination,40000000,187384627,82,"['Horror', 'Mystery']",36.702,5.61,3486,True,David R. Ellis,Bobby Campo,147384627,0.7865353170086893,2009,Parallel Zide,Horror,Mystery,
Memoir of a Snail,4350000,7,94,"['Animation', 'Drama', 'Comedy']",36.4445,8.083,530,False,Adam Elliot,Sarah Snook,-4349993,-621427.5714285715,2024,Arenamedia,Animation,Drama,Comedy
Interstellar,165000000,746606706,169,"['Adventure', 'Drama', 'Science Fiction']",35.8664,8.5,37209,False,Christopher Nolan,Matthew McConaughey,581606706,0.7790001098650726,2014,Legendary Pictures,Adventure,Drama,Science Fiction
Wonder Woman,149000000,823970682,141,"['Action', 'Adventure', 'Fantasy']",34.99,7.216,20240,True,Patty Jenkins,Gal Gadot,674970682,0.819168323272939,2017,Atlas Entertainment,Action,Adventure,Fantasy
The Karate Kid,40000000,359126022,140,"['Action', 'Adventure', 'Drama', 'Family']",34.9007,6.556,6193,True,Harald Zwart,Jaden Smith,319126022,0.8886184861313113,2010,Jerry Weintraub Productions,Action,Adventure,Drama
Shrek,60000000,488628188,90,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",34.5202,7.752,17707,True,Andrew Adamson,Mike Myers,428628188,0.8772072478143648,2001,Pacific Data Images,Animation,Comedy,Fantasy
How to Train Your Dragon,165000000,494879471,98,"['Fantasy', 'Adventure', 'Animation', 'Family']",34.2935,7.8,13426,True,Dean DeBlois,Jay Baruchel,329879471,0.6665854825891535,2010,DreamWorks Animation,Fantasy,Adventure,Animation
Spider-Man: No Way Home,200000000,1921847111,148,"['Action', 'Adventure', 'Science Fiction']",33.8765,7.945,20792,True,Jon Watts,Tom Holland,1721847111,0.8959334492034939,2021,Marvel Studios,Action,Adventure,Science Fiction
The Accountant,44000000,155160045,128,"['Crime', 'Thriller', 'Drama']",33.4906,7.112,6588,True,Gavin O'Connor,Ben Affleck,111160045,0.7164218404293451,2016,Zero Gravity Management,Crime,Thriller,Drama
The Super Mario Bros. Movie,100000000,1362000000,93,"['Family', 'Comedy', 'Adventure', 'Animation']",33.4141,7.62,9714,True,Aaron Horvath,Chris Pratt,1262000000,0.9265785609397944,2023,Universal Pictures,Family,Comedy,Adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,143,"['Adventure', 'Family', 'Fantasy']",33.2393,7.132,10931,True,Andrew Adamson,William Moseley,565013115,0.7583935149920146,2005,Walt Disney Pictures,Adventure,Family,Fantasy
The Social Network,40000000,224920315,121,['Drama'],32.8274,7.37,12447,False,David Fincher,Jesse Eisenberg,184920315,0.8221592389286846,2010,Columbia Pictures,Drama,,
Red One,250000000,185700759,124,"['Action', 'Comedy', 'Fantasy']",31.718,7.047,2528,False,Jake Kasdan,Dwayne Johnson,-64299241,-0.3462519019644933,2024,Seven Bucks Productions,Action,Comedy,Fantasy
The Conjuring,13000000,320415166,112,"['Horror', 'Thriller']",31.6891,7.54,11871,True,James Wan,Patrick Wilson,307415166,0.9594276383284555,2013,Evergreen Media Group,Horror,Thriller,
Spider-Man: Across the Spider-Verse,100000000,690897910,140,"['Animation', 'Action', 'Adventure', 'Science Fiction']",31.5716,8.344,7594,True,Kemp Powers,Shameik Moore,590897910,0.8552608155957513,2023,Columbia Pictures,Animation,Action,Adventure
Captain Marvel,152000000,1131416446,124,"['Action', 'Adventure', 'Science Fiction']",31.5131,6.801,16059,True,Ryan Fleck,Brie Larson,979416446,0.865655125893406,2019,Marvel Studios,Action,Adventure,Science Fiction
Bad Boys: Ride or Die,100000000,404547819,115,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",31.3532,7.378,2914,True,Adil El Arbi,Will Smith,304547819,0.7528104335176258,2024,Westbrook,Action,Comedy,Crime
Fast X,340000000,704709660,142,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']",30.8532,7.039,5904,True,Louis Leterrier,Vin Diesel,364709660,0.5175318016784387,2023,Universal Pictures,Action,Crime,Thriller
John Wick: Chapter 4,100000000,440157245,170,"['Action', 'Thriller', 'Crime']",30.7153,7.723,7090,True,Chad Stahelski,Keanu Reeves,340157245,0.7728084653019854,2023,Thunder Road,Action,Thriller,Crime
Mission: Impossible - Ghost Protocol,145000000,694713380,133,"['Action', 'Thriller', 'Adventure']",30.3955,7.1,10170,True,Brad Bird,Tom Cruise,549713380,0.7912808300885179,2011,Paramount Pictures,Action,Thriller,Adventure
Grown Ups,80000000,271430189,102,['Comedy'],30.0069,6.395,6300,True,Dennis Dugan,Adam Sandler,191430189,0.7052649143607235,2010,Columbia Pictures,Comedy,,
Doctor Strange in the Multiverse of Madness,200000000,955775804,126,"['Fantasy', 'Action', 'Adventure']",29.8205,7.259,9558,True,Sam Raimi,Benedict Cumberbatch,755775804,0.790745905930048,2022,Marvel Studios,Fantasy,Action,Adventure
Wicked,150000000,755765715,162,"['Drama', 'Romance', 'Fantasy']",29.7796,6.928,2148,True,Jon M. Chu,Cynthia Erivo,605765715,0.8015257942734277,2024,Universal Pictures,Drama,Romance,Fantasy
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,"['Adventure', 'Fantasy']",29.4614,8.011,22128,True,Alfonso Cuarón,Daniel Radcliffe,659804554,0.8354023165077876,2004,Warner Bros. Pictures,Adventure,Fantasy,
Coraline,60000000,185860104,100,"['Animation', 'Family', 'Fantasy']",29.3502,7.893,8389,False,Henry Selick,Dakota Fanning,125860104,0.677176549949633,2009,Laika,Animation,Family,Fantasy
Top Gun: Maverick,170000000,1488732821,131,"['Action', 'Drama']",28.8697,8.176,9878,True,Joseph Kosinski,Tom Cruise,1318732821,0.8858089258179926,2022,Skydance Media,Action,Drama,
Justice League,300000000,661326987,120,"['Action', 'Adventure', 'Science Fiction']",28.5274,6.076,13165,False,Zack Snyder,Ben Affleck,361326987,0.5463666145534145,2017,RatPac Entertainment,Action,Adventure,Science Fiction
How to Train Your Dragon 2,145000000,621537519,102,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",27.9653,7.673,9833,True,Dean DeBlois,Jay Baruchel,476537519,0.7667075670133439,2014,DreamWorks Animation,Fantasy,Action,Adventure
Spider-Man,139000000,821708551,121,"['Action', 'Science Fiction']",27.7894,7.3,19623,True,Sam Raimi,Tobey Maguire,682708551,0.8308402658937403,2002,Marvel Enterprises,Action,Science Fiction,
Avengers: Endgame,356000000,2799439100,181,"['Adventure', 'Science Fiction', 'Action']",27.7632,8.239,26386,True,Anthony Russo,Robert Downey Jr.,2443439100,0.8728316683152707,2019,Marvel Studios,Adventure,Science Fiction,Action
Avatar: The Way of Water,460000000,2320250281,192,"['Science Fiction', 'Adventure', 'Action']",27.695,7.611,12582,True,James Cameron,Sam Worthington,1860250281,0.801745525572463,2022,20th Century Studios,Science Fiction,Adventure,Action
The Dark Knight,185000000,1004558444,152,"['Drama', 'Action', 'Crime', 'Thriller']",27.6667,8.52,33899,True,Christopher Nolan,Christian Bale,819558444,0.8158394853928479,2008,Warner Bros. Pictures,Drama,Action,Crime
A Quiet Place,17000000,340955294,91,"['Horror', 'Drama', 'Science Fiction']",27.535,7.398,14578,True,John Krasinski,Emily Blunt,323955294,0.9501400908002913,2018,Paramount Pictures,Horror,Drama,Science Fiction
Harry Potter and the Chamber of Secrets,100000000,876688482,161,"['Adventure', 'Fantasy']",27.1681,7.708,22552,True,Chris Columbus,Daniel Radcliffe,776688482,0.8859343973906572,2002,Warner Bros. Pictures,Adventure,Fantasy,
Alien: Romulus,80000000,350865342,119,"['Horror', 'Science Fiction']",27.1209,7.196,3674,True,Fede Álvarez,Cailee Spaeny,270865342,0.7719922989714955,2024,20th Century Studios,Horror,Science Fiction,
Barbie,145000000,1445638421,114,"['Comedy', 'Adventure']",26.7411,6.971,9922,False,Greta Gerwig,Margot Robbie,1300638421,0.8996982939207591,2023,LuckyChap Entertainment,Comedy,Adventure,
Elevation,18000000,3300000,91,"['Action', 'Science Fiction', 'Thriller']",26.5045,6.488,723,False,George Nolfi,Anthony Mackie,-14700000,-4.454545454545454,2024,Lyrical Media,Action,Science Fiction,Thriller
Nobody,17000000,61779301,91,"['Action', 'Thriller']",26.4764,7.925,7418,True,Ilya Naishuller,Bob Odenkirk,44779301,0.7248269286827962,2021,87North Productions,Action,Thriller,
Inception,160000000,839030630,148,"['Action', 'Science Fiction', 'Adventure']",26.3253,8.369,37512,False,Christopher Nolan,Leonardo DiCaprio,679030630,0.8093037437739311,2010,Legendary Pictures,Action,Science Fiction,Adventure
The Hangover,35000000,469310836,100,['Comedy'],26.3027,7.3,17268,True,Todd Phillips,Bradley Cooper,434310836,0.9254225615195469,2009,Legendary Pictures,Comedy,,
Logan,97000000,619021436,137,"['Action', 'Drama', 'Science Fiction']",26.2209,7.821,19632,True,James Mangold,Hugh Jackman,522021436,0.8433010646177365,2017,Hutch Parker Entertainment,Action,Drama,Science Fiction
Harry Potter and the Goblet of Fire,150000000,895921036,157,"['Adventure', 'Fantasy']",26.2094,7.801,21196,True,Mike Newell,Daniel Radcliffe,745921036,0.8325745305973595,2005,Warner Bros. Pictures,Adventure,Fantasy,
The Meg,150000000,530517320,113,"['Action', 'Science Fiction', 'Horror']",25.9204,6.249,7826,True,Jon Turteltaub,Jason Statham,380517320,0.7172571104747344,2018,Apelles Entertainment,Action,Science Fiction,Horror
The Wolf of Wall Street,100000000,407038432,180,"['Crime', 'Drama', 'Comedy']",25.8538,8.029,24657,False,Martin Scorsese,Leonardo DiCaprio,307038432,0.7543229529736396,2013,Red Granite Pictures,Crime,Drama,Comedy
The Maze Runner,34000000,348319861,113,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",25.4982,7.19,17358,True,Wes Ball,Dylan O'Brien,314319861,0.9023885692237342,2014,Ingenious Media,Action,Mystery,Science Fiction
Puss in Boots: The Last Wish,90000000,484700000,103,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",25.4977,8.2,8216,True,Joel Crawford,Antonio Banderas,394700000,0.814318134928822,2022,DreamWorks Animation,Animation,Adventure,Fantasy
Mission: Impossible II,125000000,546388108,123,"['Adventure', 'Action', 'Thriller']",25.3611,6.128,7027,True,John Woo,Tom Cruise,421388108,0.7712248891039187,2000,Paramount Pictures,Adventure,Action,Thriller
Get Out,4500000,255407969,104,"['Mystery', 'Thriller', 'Horror']",25.2587,7.619,17892,False,Jordan Peele,Daniel Kaluuya,250907969,0.9823811292278042,2017,Monkeypaw Productions,Mystery,Thriller,Horror
The Batman,185000000,772319315,177,"['Crime', 'Mystery', 'Thriller']",25.0595,7.655,10928,True,Matt Reeves,Robert Pattinson,587319315,0.7604617722139968,2022,6th & Idaho Motion Picture Company,Crime,Mystery,Thriller
Twilight,37000000,393616788,122,"['Fantasy', 'Drama', 'Romance']",24.9955,6.286,13804,True,Catherine Hardwicke,Kristen Stewart,356616788,0.9059999442909941,2008,Summit Entertainment,Fantasy,Drama,Romance
Mission: Impossible III,150000000,398479497,126,"['Adventure', 'Action', 'Thriller']",24.7982,6.7,7094,True,J.J. Abrams,Tom Cruise,248479497,0.6235690891770023,2006,Paramount Pictures,Adventure,Action,Thriller
Godzilla x Kong: The New Empire,150000000,571750016,115,"['Action', 'Adventure', 'Science Fiction']",24.7059,7.088,4207,False,Adam Wingard,Rebecca Hall,421750016,0.7376475805817905,2024,Legendary Pictures,Action,Adventure,Science Fiction
Gladiator,103000000,465516248,155,"['Action', 'Drama', 'Adventure']",24.6531,8.22,19735,True,Ridley Scott,Russell Crowe,362516248,0.7787402685888635,2000,Universal Pictures,Action,Drama,Adventure
The Garfield Movie,60000000,254907482,100,"['Family', 'Comedy', 'Adventure', 'Animation']",24.6025,7.063,1267,False,Mark Dindal,Chris Pratt,194907482,0.7646204829719356,2024,Alcon Entertainment,Family,Comedy,Adventure
The Flash,220000000,271333313,144,"['Adventure', 'Action', 'Science Fiction']",24.5573,6.654,4551,False,Andy Muschietti,Ezra Miller,51333313,0.18918912842817792,2023,Warner Bros. Pictures,Adventure,Action,Science Fiction
John Wick: Chapter 3 - Parabellum,55000000,326709727,131,"['Action', 'Thriller', 'Crime']",24.5545,7.4,10996,True,Chad Stahelski,Keanu Reeves,271709727,0.8316548438730751,2019,Thunder Road,Action,Thriller,Crime
Conclave,20000000,115657988,120,"['Drama', 'Thriller', 'Mystery']",24.4002,7.185,2553,False,Edward Berger,Ralph Fiennes,95657988,0.8270763624212449,2024,FilmNation Entertainment,Drama,Thriller,Mystery
Dune: Part Two,190000000,714444358,167,"['Science Fiction', 'Adventure']",23.9506,8.1,6702,True,Denis Villeneuve,Timothée Chalamet,524444358,0.7340590658006148,2024,Legendary Pictures,Science Fiction,Adventure,
Dune,165000000,407573628,155,"['Science Fiction', 'Adventure']",23.9364,7.781,13577,True,Denis Villeneuve,Timothée Chalamet,242573628,0.5951651709908964,2021,Legendary Pictures,Science Fiction,Adventure,
After,14000000,69497587,106,"['Romance', 'Drama']",23.6893,7.12,8344,True,Jenny Gage,Josephine Langford,55497587,0.7985541569954077,2019,CalMaple Films,Romance,Drama,
Zootopia,150000000,1023784195,109,"['Animation', 'Adventure', 'Family', 'Comedy']",23.6067,7.747,16705,True,Byron Howard,Jason Bateman,873784195,0.8534847473397458,2016,Walt Disney Animation Studios,Animation,Adventure,Family
Deadpool,58000000,782837347,108,"['Action', 'Adventure', 'Comedy']",23.6027,7.622,31628,True,Tim Miller,Ryan Reynolds,724837347,0.9259105352826249,2016,20th Century Fox,Action,Adventure,Comedy
Transformers One,75000000,128888103,104,"['Animation', 'Science Fiction', 'Adventure', 'Family']",23.5917,8.081,1251,False,Josh Cooley,Chris Hemsworth,53888103,0.4180999001901673,2024,Paramount Animation,Animation,Science Fiction,Adventure
Smile 2,28000000,138128854,127,"['Horror', 'Mystery']",23.5876,6.589,1565,True,Parker Finn,Naomi Scott,110128854,0.7972907239207241,2024,Paramount Pictures,Horror,Mystery,
Fifty Shades of Grey,40000000,569651467,125,"['Drama', 'Romance', 'Thriller']",23.3591,5.886,11993,True,Sam Taylor-Johnson,Dakota Johnson,529651467,0.9297816255777325,2015,Universal Pictures,Drama,Romance,Thriller
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,"['Adventure', 'Fantasy', 'Action']",23.2893,8.421,26005,True,Peter Jackson,Elijah Wood,778368364,0.8932713145872255,2001,New Line Cinema,Adventure,Fantasy,Action
Transformers: Rise of the Beasts,195000000,441381193,127,"['Science Fiction', 'Adventure', 'Action']",23.2113,7.235,4918,False,Steven Caple Jr.,Anthony Ramos,246381193,0.5582050094282109,2023,Skydance Media,Science Fiction,Adventure,Action
Spider-Man: Far From Home,160000000,1131927996,129,"['Action', 'Adventure', 'Science Fiction']",23.1994,7.409,16097,True,Jon Watts,Tom Holland,971927996,0.8586482527462815,2019,Marvel Studios,Action,Adventure,Science Fiction
Fast & Furious Presents: Hobbs & Shaw,200000000,760098996,137,"['Action', 'Adventure', 'Comedy']",23.1564,6.845,7390,False,David Leitch,Dwayne Johnson,560098996,0.7368763791920598,2019,Chris Morgan Productions,Action,Adventure,Comedy
The Lord of the Rings: The War of the Rohirrim,30000000,20658572,134,"['Animation', 'Fantasy', 'Adventure', 'Action']",23.0124,6.7,602,False,Kenji Kamiyama,Brian Cox,-9341428,-0.452181690002581,2024,New Line Cinema,Animation,Fantasy,Adventure
Guardians of the Galaxy Vol. 2,200000000,863756051,137,"['Science Fiction', 'Adventure', 'Action']",22.9694,7.612,21996,True,James Gunn,Chris Pratt,663756051,0.7684531416382517,2017,Marvel Studios,Science Fiction,Adventure,Action
Hacksaw Ridge,40000000,175302354,139,"['Drama', 'History', 'War']",22.7968,8.193,14117,False,Mel Gibson,Andrew Garfield,135302354,0.7718228016493149,2016,Summit Entertainment,Drama,History,War
Spider-Man: Homecoming,175000000,880166924,133,"['Action', 'Adventure', 'Science Fiction', 'Drama']",22.7936,7.331,22224,True,Jon Watts,Tom Holland,705166924,0.8011740782024661,2017,Marvel Studios,Action,Adventure,Science Fiction
Avatar,237000000,2923706026,162,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",22.7081,7.59,32274,True,James Cameron,Sam Worthington,2686706026,0.9189384986409711,2009,Dune Entertainment,Action,Adventure,Fantasy
Coco,175000000,807816196,105,"['Family', 'Animation', 'Music', 'Adventure']",22.7006,8.205,19987,True,Lee Unkrich,Anthony Gonzalez,632816196,0.7833665617667314,2017,Pixar,Family,Animation,Music
Sonic the Hedgehog 2,110000000,405421518,123,"['Action', 'Adventure', 'Family', 'Comedy']",22.685,7.465,5516,True,Jeff Fowler,Ben Schwartz,295421518,0.7286774502186142,2022,Original Film,Action,Adventure,Family
Underworld: Blood Wars,35000000,81093313,91,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']",22.5797,5.9,3753,True,Anna Foerster,Kate Beckinsale,46093313,0.5683984448878048,2016,Lakeshore Entertainment,Fantasy,Action,Thriller
The Beekeeper,35000000,152720535,105,"['Action', 'Crime', 'Thriller']",22.2571,7.316,3570,True,David Ayer,Jason Statham,117720535,0.7708232229542674,2024,Miramax,Action,Crime,Thriller
Tangled,260000000,592461732,100,"['Animation', 'Family', 'Adventure']",22.2494,7.608,11758,True,Nathan Greno,Mandy Moore,332461732,0.5611530906438359,2010,Walt Disney Animation Studios,Animation,Family,Adventure
Babygirl,20000000,60934894,115,['Drama'],22.1657,5.755,759,False,Halina Reijn,Nicole Kidman,40934894,0.6717808354602208,2024,A24,Drama,,
Jurassic World Dominion,465400000,1001978080,147,"['Adventure', 'Action', 'Science Fiction']",22.1505,6.66,6388,True,Colin Trevorrow,Chris Pratt,536578080,0.5355187810096604,2022,Amblin Entertainment,Adventure,Action,Science Fiction
No Time to Die,250000000,774153024,163,"['Action', 'Thriller', 'Adventure']",22.0761,7.365,6533,True,Cary Joji Fukunaga,Daniel Craig,524153024,0.6770664296985295,2021,EON Productions,Action,Thriller,Adventure
Ratatouille,150000000,623726000,111,"['Animation', 'Comedy', 'Family', 'Fantasy']",22.0535,7.827,17515,False,Brad Bird,Patton Oswalt,473726000,0.7595097847452247,2007,Pixar,Animation,Comedy,Family
Encanto,135000000,261289554,102,"['Animation', 'Comedy', 'Family', 'Fantasy']",22.0387,7.592,9727,True,Byron Howard,Stephanie Beatriz,126289554,0.48333181356343086,2021,Walt Disney Animation Studios,Animation,Comedy,Family
"Monsters, Inc.",115000000,579700000,92,"['Animation', 'Comedy', 'Family']",22.0192,7.844,18871,True,Pete Docter,John Goodman,464700000,0.8016215283767466,2001,Pixar,Animation,Comedy,Family
The Conjuring: The Devil Made Me Do It,39000000,206431050,111,"['Horror', 'Mystery', 'Thriller']",21.8595,7.406,6060,True,Michael Chaves,Patrick Wilson,167431050,0.8110749327681083,2021,New Line Cinema,Horror,Mystery,Thriller
War for the Planet of the Apes,150000000,490719763,140,"['Drama', 'Science Fiction', 'War']",21.6678,7.2,9260,True,Matt Reeves,Andy Serkis,340719763,0.6943265559899612,2017,20th Century Fox,Drama,Science Fiction,War
Harry Potter and the Half-Blood Prince,250000000,933959197,153,"['Adventure', 'Fantasy']",21.655,7.683,19887,True,David Yates,Daniel Radcliffe,683959197,0.7323223532644328,2009,Warner Bros. Pictures,Adventure,Fantasy,
Cruella,200000000,233503234,134,"['Comedy', 'Crime', 'Adventure']",21.4382,8.0,9578,True,Craig Gillespie,Emma Stone,33503234,0.14348081363190027,2021,Walt Disney Pictures,Comedy,Crime,Adventure
Sound of Freedom,14500000,250600000,131,"['Action', 'Drama']",21.4081,7.988,2547,False,Alejandro Monteverde,Jim Caviezel,236100000,0.9421388667198723,2023,Santa Fe Films,Action,Drama,
The Tomorrow War,200000000,14400000,138,"['Action', 'Science Fiction', 'Adventure']",21.3726,7.509,3689,True,Chris McKay,Chris Pratt,-185600000,-12.88888888888889,2021,Skydance Media,Action,Science Fiction,Adventure
Kingdom of the Planet of the Apes,160000000,397378150,145,"['Science Fiction', 'Adventure', 'Action', 'Drama', 'Thriller']",21.3332,7.072,3740,True,Wes Ball,Owen Teague,237378150,0.5973608513704138,2024,20th Century Studios,Science Fiction,Adventure,Action
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,"['Adventure', 'Fantasy', 'Action']",21.2531,7.811,21152,True,Gore Verbinski,Johnny Depp,515011224,0.7862632045523543,2003,Walt Disney Pictures,Adventure,Fantasy,Action
Furiosa: A Mad Max Saga,168000000,174287546,149,"['Action', 'Science Fiction', 'Adventure']",21.2241,7.5,4180,True,George Miller,Anya Taylor-Joy,6287546,0.036075704456817584,2024,Warner Bros. Pictures,Action,Science Fiction,Adventure
Harry Potter and the Order of the Phoenix,150000000,938212738,138,"['Adventure', 'Fantasy']",21.0977,7.674,19905,True,David Yates,Daniel Radcliffe,788212738,0.8401215482111691,2007,Warner Bros. Pictures,Adventure,Fantasy,
Star Wars: The Rise of Skywalker,416000000,1074144248,142,"['Adventure', 'Action', 'Science Fiction']",21.0521,6.297,10201,True,J.J. Abrams,Carrie Fisher,658144248,0.6127149581868822,2019,Lucasfilm Ltd.,Adventure,Action,Science Fiction
Catch Me If You Can,52000000,352114312,141,"['Drama', 'Crime']",21.0199,7.976,16112,False,Steven Spielberg,Leonardo DiCaprio,300114312,0.8523206861299066,2002,Parkes/MacDonald Productions,Drama,Crime,
