title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Jeepers Creepers: Reborn,5000000,6175213,88,4.7722,5.4,1016,False,Timo Vuorensola,Sydney Craven,1175213,0.1903113301516887,Orwo Studios (US),Horror,,
War Horse,66000000,177584879,146,4.7714,7.3,3469,False,Steven Spielberg,Jeremy Irvine,111584879,0.6283467355348424,DreamWorks Pictures,War,History,Adventure
mother!,30000000,44516999,121,4.7684,7.0,6795,False,Darren Aronofsky,Jennifer Lawrence,14516999,0.32610012638093594,Paramount Pictures,Thriller,Drama,Horror
Dogville,10000000,16690617,178,4.7671,7.77,2501,True,Lars von Trier,Nicole Kidman,6690617,0.40086097476204746,Zentropa Entertainments,Crime,Drama,Thriller
The League of Extraordinary Gentlemen,78000000,179265204,110,4.767,5.972,4123,False,Stephen Norrington,Sean Connery,101265204,0.5648904625127361,20th Century Fox,Fantasy,Action,Thriller
Abraham Lincoln: Vampire Hunter,69000000,116500000,105,4.763,5.752,3389,False,Timur Bekmambetov,Benjamin Walker,47500000,0.40772532188841204,Bazelevs Production,Action,Fantasy,Horror
Blade II,54000000,155010032,117,4.7628,6.6,4859,True,Guillermo del Toro,Wesley Snipes,101010032,0.6516354502784697,New Line Cinema,Fantasy,Horror,Action
Midnight Sun,2800000,27365467,91,4.7603,7.8,3476,False,Scott Speer,Bella Thorne,24565467,0.8976812637620984,Boies/Schiller Film Group,Romance,Drama,
The Mortal Instruments: City of Bones,60000000,95396573,130,4.7588,6.442,4509,False,Harald Zwart,Lily Collins,35396573,0.3710465888538784,Screen Gems,Fantasy,Action,Mystery
Spy Kids,35000000,147934180,88,4.7566,5.808,3519,True,Robert Rodriguez,Alexa PenaVega,112934180,0.7634082941481137,Troublemaker Studios,Family,Action,Comedy
Meet the Parents,55000000,330444045,108,4.7528,6.68,6067,True,Jay Roach,Ben Stiller,275444045,0.8335572971212115,Universal Pictures,Comedy,Romance,
The Adventures of Sharkboy and Lavagirl,50000000,72000000,92,4.7492,5.2,1535,True,Robert Rodriguez,Taylor Lautner,22000000,0.3055555555555556,Troublemaker Studios,Adventure,Family,Science Fiction
A Ghost Story,100000,1929659,93,4.7429,7.1,2374,False,David Lowery,Casey Affleck,1829659,0.9481773722714739,Sailor Bear,Drama,Fantasy,Mystery
The Nanny Diaries,20000000,47817020,106,4.7424,6.4,1164,False,Shari Springer Berman,Scarlett Johansson,27817020,0.5817388871159265,The Weinstein Company,Comedy,Drama,Romance
The Grudge,10000000,49511319,93,4.7343,5.4,1240,False,Nicolas Pesce,Andrea Riseborough,39511319,0.7980259827050861,Ghost House Pictures,Horror,Mystery,
Hall Pass,36000000,83200000,105,4.7328,5.711,2001,False,Bobby Farrelly,Owen Wilson,47200000,0.5673076923076923,New Line Cinema,Comedy,Romance,
Dead Silence,20000000,22217407,89,4.7273,6.447,2315,False,James Wan,Ryan Kwanten,2217407,0.09980494123369123,Evolution Entertainment,Horror,,
The Heartbreak Kid,60000000,128453183,116,4.7248,5.738,1658,False,Bobby Farrelly,Ben Stiller,68453183,0.5329037506217343,Conundrum Entertainment,Comedy,Romance,
This Means War,65000000,156974557,98,4.7246,6.184,3441,False,McG,Reese Witherspoon,91974557,0.5859201564747847,Dune Entertainment,Action,Comedy,Romance
Allegiant,110000000,179246868,120,4.723,6.1,6720,True,Robert Schwentke,Shailene Woodley,69246868,0.38632121594448166,Mandeville Films,Adventure,Science Fiction,Action
Strange World,180000000,73621640,102,4.7192,6.3,1313,False,Don Hall,Jake Gyllenhaal,-106378360,-1.444933310369071,Walt Disney Pictures,Animation,Family,Adventure
Tucker and Dale vs. Evil,5000000,5224938,89,4.7189,7.4,2875,False,Eli Craig,Tyler Labine,224938,0.04305084577080149,Eden Rock Media,Comedy,Horror,
Atlantis: The Lost Empire,120000000,186053725,95,4.7182,7.015,4869,True,Gary Trousdale,Michael J. Fox,66053725,0.355025006889811,Walt Disney Pictures,Animation,Family,Adventure
After Earth,130000000,243843127,100,4.7145,5.2,6625,False,M. Night Shyamalan,Jaden Smith,113843127,0.4668703539058536,Columbia Pictures,Science Fiction,Action,Adventure
Mortdecai,60000000,47318560,107,4.713,5.5,2672,False,David Koepp,Johnny Depp,-12681440,-0.2680013931108639,Lionsgate,Comedy,Adventure,
Step Up 3D,30000000,159291809,107,4.7106,6.8,1921,True,Jon M. Chu,Sharni Vinson,129291809,0.8116663989923047,Touchstone Pictures,Drama,Romance,
80 for Brady,28000000,29637811,98,4.709,6.3,173,False,Kyle Marvin,Lily Tomlin,1637811,0.055260862551556184,199 Productions,Comedy,Drama,Horror
Bones and All,16000000,15234907,130,4.7054,7.0,1449,False,Luca Guadagnino,Taylor Russell,-765093,-0.050219735506097936,Frenesy Film,Horror,Romance,Drama
Equilibrium,20000000,5400000,107,4.7035,7.043,4660,False,Kurt Wimmer,Christian Bale,-14600000,-2.7037037037037037,Blue Tulip Productions,Action,Science Fiction,Thriller
Flightplan,55000000,223387299,98,4.6996,6.5,2692,False,Robert Schwentke,Jodie Foster,168387299,0.7537908366043675,Touchstone Pictures,Thriller,Drama,Mystery
Eight Legged Freaks,30000000,45900000,99,4.6989,5.802,1271,False,Ellory Elkayem,David Arquette,15900000,0.3464052287581699,Centropolis Entertainment,Action,Comedy,Horror
Selma,20000000,66787908,127,4.697,7.396,2227,False,Ava DuVernay,David Oyelowo,46787908,0.7005445955875725,Pathé,History,Drama,
The Gambler,25000000,39171130,111,4.6951,6.017,1454,False,Rupert Wyatt,Mark Wahlberg,14171130,0.3617748581672267,Paramount Pictures,Thriller,Crime,Drama
The Thing,35000000,31505287,103,4.6939,6.2,3008,True,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead,-3494713,-0.11092465210680354,Universal Pictures,Horror,Science Fiction,Mystery
Parker,35000000,46216641,118,4.6938,6.062,3103,False,Taylor Hackford,Jason Statham,11216641,0.24269701902394855,Incentive Filmed Entertainment,Action,Crime,
Overboard,12000000,91244913,112,4.6923,6.7,1402,False,Rob Greenberg,Anna Faris,79244913,0.8684858190395776,Metro-Goldwyn-Mayer,Romance,Comedy,
Umma,3000000,2100000,83,4.6918,5.3,307,False,Iris K. Shim,Sandra Oh,-900000,-0.42857142857142855,Raimi Productions,Horror,Mystery,
A Dog's Journey,16000000,78871079,109,4.6901,8.1,1552,True,Gail Mancuso,Marg Helgenberger,62871079,0.7971373004799389,Amblin Entertainment,Family,Adventure,Drama
Those Who Wish Me Dead,20000000,23384502,100,4.6835,6.6,1699,False,Taylor Sheridan,Angelina Jolie,3384502,0.14473269518418652,Bron Studios,Thriller,Action,
Miami Vice,135000000,163800000,132,4.6829,6.013,1832,False,Michael Mann,Colin Farrell,28800000,0.17582417582417584,Universal Pictures,Action,Crime,Thriller
Inferno,75000000,220021259,121,4.681,6.081,6341,True,Ron Howard,Tom Hanks,145021259,0.6591238485731963,Columbia Pictures,Mystery,Thriller,Action
The Collector,3400000,114000000,90,4.678,6.6,1530,True,Marcus Dunstan,Josh Stewart,110600000,0.9701754385964912,Imaginarium Entertainment Group,Horror,Thriller,
Monster-in-Law,43000000,154749918,101,4.6764,6.2,1682,False,Robert Luketic,Jennifer Lopez,111749918,0.7221323244901493,New Line Cinema,Romance,Comedy,
Footloose,24000000,63543328,113,4.6697,6.598,1666,False,Craig Brewer,Dennis Quaid,39543328,0.6223049570208221,Weston Pictures,Drama,Music,Romance
The Darjeeling Limited,16000000,24377151,92,4.6692,7.158,3674,True,Wes Anderson,Owen Wilson,8377151,0.3436476641589495,Fox Searchlight Pictures,Adventure,Drama,Comedy
Green Zone,100000000,94882889,115,4.6687,6.482,2232,False,Paul Greengrass,Matt Damon,-5117111,-0.05393080937912841,Universal Pictures,War,Action,Adventure
Life or Something Like It,40000000,16872671,103,4.6639,5.7,537,False,Stephen Herek,Angelina Jolie,-23127329,-1.3706975617553379,Monarchy Enterprises S.a.r.l.,Comedy,Drama,Romance
House of Wax,40000000,68766121,113,4.663,6.0,3105,False,Jaume Collet-Serra,Elisha Cuthbert,28766121,0.4183182151571411,Village Roadshow Pictures,Mystery,Horror,Thriller
D.E.B.S.,3500000,97446,91,4.6617,6.4,575,False,Angela Robinson,Sara Foster,-3402554,-34.917328571721775,Destination Films,Action,Comedy,Romance
Two Weeks Notice,60000000,199043242,101,4.6606,6.4,2086,False,Marc Lawrence,Sandra Bullock,139043242,0.6985579646055001,Fortis Films,Romance,Comedy,
The Spy Who Dumped Me,40000000,33562069,116,4.6542,6.4,2257,False,Susanna Fogel,Mila Kunis,-6437931,-0.1918216365028032,Imagine Entertainment,Comedy,Action,Adventure
Jeepers Creepers 3,6200000,4017852,100,4.6507,4.9,922,True,Victor Salva,Stan Shaw,-2182148,-0.5431130862958615,Scoundrel Media,Horror,,
The Watch,68000000,68267862,102,4.6443,5.592,2348,False,Akiva Schaffer,Ben Stiller,267862,0.003923691062714107,21 Laps Entertainment,Comedy,Action,Science Fiction
Walk Hard: The Dewey Cox Story,35000000,18317151,96,4.6443,6.6,692,False,Jake Kasdan,John C. Reilly,-16682849,-0.9107775002782911,Apatow Productions,Comedy,Music,
Doom,60000000,58100000,105,4.6427,5.167,2292,True,Andrzej Bartkowiak,Dwayne Johnson,-1900000,-0.03270223752151463,di Bonaventura Pictures,Action,Horror,Science Fiction
Rocketman,40000000,167300000,121,4.6421,7.319,4760,False,Dexter Fletcher,Taron Egerton,127300000,0.7609085475194262,Paramount Pictures,Music,Drama,
Krampus,15000000,61800000,98,4.6416,6.196,2256,False,Michael Dougherty,Emjay Anthony,46800000,0.7572815533980582,Universal Pictures,Horror,Comedy,Fantasy
Speed Racer,120000000,93900000,135,4.6402,6.282,1617,False,Lana Wachowski,Emile Hirsch,-26100000,-0.2779552715654952,Warner Bros. Pictures,Family,Action,Adventure
The Golden Compass,180000000,372200000,113,4.6398,6.075,4621,False,Chris Weitz,Nicole Kidman,192200000,0.5163890381515315,Depth of Field,Adventure,Fantasy,
A Cinderella Story,19000000,70067909,95,4.6321,6.6,3254,True,Mark Rosman,Hilary Duff,51067909,0.728834493976408,Dylan Sellers Productions,Comedy,Family,Romance
Killer Elite,66000000,57777106,116,4.6317,6.258,2178,False,Gary McKendry,Jason Statham,-8222894,-0.142320973985786,Open Road Films,Action,Adventure,Thriller
West Side Story,100000000,76016171,156,4.631,6.972,1625,False,Steven Spielberg,Ansel Elgort,-23983829,-0.3155095644057105,20th Century Studios,Drama,Romance,Crime
The Commuter,30000000,119942387,104,4.6303,6.4,4426,False,Jaume Collet-Serra,Liam Neeson,89942387,0.7498799152629837,StudioCanal,Action,Thriller,Mystery
The Guardian,10000000,94973540,139,4.6301,7.1,1564,False,Andrew Davis,Kevin Costner,84973540,0.8947075153774409,Touchstone Pictures,Action,Drama,
Johnny English Strikes Again,25000000,158972570,89,4.6275,6.3,2571,True,David Kerr,Rowan Atkinson,133972570,0.8427401658034465,Working Title Films,Action,Adventure,Comedy
Night at the Museum: Battle of the Smithsonian,150000000,413106170,105,4.6268,6.141,6975,True,Shawn Levy,Ben Stiller,263106170,0.6368972170035611,21 Laps Entertainment,Adventure,Fantasy,Action
Non-Stop,50000000,222809600,107,4.6216,6.81,5451,False,Jaume Collet-Serra,Liam Neeson,172809600,0.7755931521801575,Silver Pictures,Action,Thriller,Mystery
Tooth Fairy,48000000,112462508,101,4.6176,5.482,2018,True,Michael Lembeck,Dwayne Johnson,64462508,0.5731910940488718,Dune Entertainment,Comedy,Family,Fantasy
White Bird,20000000,8799528,121,4.6175,7.881,181,True,Marc Forster,Ariella Glaser,-11200472,-1.2728491800923867,Participant,Drama,,
Underworld: Rise of the Lycans,35000000,92158961,92,4.6173,6.534,3742,True,Patrick Tatopoulos,Rhona Mitra,57158961,0.6202214128694441,Screen Gems,Fantasy,Action,Thriller
Killers,75000000,98159963,100,4.6172,6.0,2224,False,Robert Luketic,Ashton Kutcher,23159963,0.2359410322923614,Katalyst Films,Action,Comedy,Thriller
Ender's Game,110000000,125537191,114,4.6147,6.6,5941,False,Gavin Hood,Asa Butterfield,15537191,0.12376564168940182,Digital Domain,Science Fiction,Action,Adventure
Deepwater Horizon,110000000,121790376,107,4.614,6.883,4637,False,Peter Berg,Mark Wahlberg,11790376,0.09680876590774298,Summit Entertainment,Drama,Action,
Hounds of War,13000000,126540,94,4.6125,6.3,150,False,Isaac Florentine,Frank Grillo,-12873460,-101.73431326062905,Juggernaut Productions,Action,Thriller,
Downton Abbey: A New Era,40000000,92651384,124,4.6121,7.214,516,True,Simon Curtis,Hugh Bonneville,52651384,0.5682741231366819,Carnival Films,Drama,Romance,
The Lucky One,25000000,99400000,101,4.6103,7.165,3704,False,Scott Hicks,Zac Efron,74400000,0.7484909456740443,Di Novi Pictures,Drama,Romance,
Slither,15000000,12800000,95,4.61,6.546,1594,False,James Gunn,Nathan Fillion,-2200000,-0.171875,Strike Entertainment,Horror,Science Fiction,Comedy
The Outpost,18000000,2133452,123,4.6079,6.9,1081,False,Rod Lurie,Scott Eastwood,-15866548,-7.43703069016786,Millennium Media,War,Drama,History
The Secret Life of Bees,11000000,38105395,114,4.6074,7.5,535,False,Gina Prince-Bythewood,Dakota Fanning,27105395,0.7113269656435788,Dune Entertainment III,Family,Adventure,Drama
Step Up 2: The Streets,23000000,150816700,98,4.6026,6.7,2327,True,Jon M. Chu,Briana Evigan,127816700,0.8474969946962106,Touchstone Pictures,Music,Drama,Romance
The Green Hornet,120000000,227817248,119,4.6013,5.588,3307,False,Michel Gondry,Seth Rogen,107817248,0.47326200692232046,Original Film,Action,Crime,Comedy
3:10 to Yuma,55000000,70000000,122,4.5988,7.216,3734,False,James Mangold,Russell Crowe,15000000,0.21428571428571427,Lionsgate,Western,,
The Forbidden Kingdom,55000000,127906624,104,4.597,6.6,1761,False,Rob Minkoff,Jackie Chan,72906624,0.5699988141349114,Casey Silver Productions,Action,Adventure,Fantasy
Dark Waters,20000000,13601384,127,4.595,7.5,2300,False,Todd Haynes,Mark Ruffalo,-6398616,-0.4704385965428224,Participant,Drama,Thriller,
Elektra,43000000,56681566,97,4.5928,5.0,2496,False,Rob Bowman,Jennifer Garner,13681566,0.24137593516735228,Regency Enterprises,Action,Fantasy,Adventure
Stay,50000000,8342132,99,4.5885,6.593,1387,False,Marc Forster,Ewan McGregor,-41657868,-4.993671641733791,Epsilon Motion Pictures,Mystery,Thriller,Drama
Serenity,39000000,38869464,119,4.5883,7.363,3618,False,Joss Whedon,Nathan Fillion,-130536,-0.0033583174699810627,Universal Pictures,Science Fiction,Action,Adventure
Scream 4,40000000,97231420,111,4.5851,6.464,3861,True,Wes Craven,David Arquette,57231420,0.5886103483832695,Dimension Films,Horror,Mystery,
The Visit,5000000,98450062,94,4.5809,6.3,4876,False,M. Night Shyamalan,Olivia DeJonge,93450062,0.9492128303586035,Blumhouse Productions,Horror,Mystery,Thriller
Vicky Cristina Barcelona,15000000,96409830,96,4.5785,6.793,3801,False,Woody Allen,Scarlett Johansson,81409830,0.8444142054809142,Gravier Productions,Drama,Romance,
House of Gucci,75000000,153235995,158,4.574,6.588,3214,False,Ridley Scott,Lady Gaga,78235995,0.510558860534041,Metro-Goldwyn-Mayer,Drama,Crime,History
Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,97,4.5738,6.8,2340,False,Zack Snyder,Jim Sturgess,60073390,0.4288708226451862,Warner Bros. Pictures,Animation,Adventure,Family
Dragged Across Concrete,15000000,660132,158,4.5716,6.6,1026,False,S. Craig Zahler,Mel Gibson,-14339868,-21.7227281816364,Cinestate,Crime,Action,Thriller
Winnie the Pooh,30000000,14460000,63,4.5711,6.905,893,False,Stephen J. Anderson,Jim Cummings,-15540000,-1.0746887966804979,Walt Disney Animation Studios,Animation,Family,Comedy
Hummingbird,20000000,8352885,100,4.5709,6.178,1752,False,Steven Knight,Jason Statham,-11647115,-1.39438230024716,Lionsgate,Action,Thriller,
Ordinary Angels,13000000,20571534,118,4.5694,7.8,289,False,Jon Gunn,Hilary Swank,7571534,0.368058794254235,Kingdom Story Company,Drama,,
Once Upon a Time in Mexico,29000000,98769390,102,4.5667,6.3,2235,True,Robert Rodriguez,Antonio Banderas,69769390,0.7063867661833286,Columbia Pictures,Action,Crime,Thriller
Ouija: Origin of Evil,9000000,81700000,99,4.5664,6.1,2509,True,Mike Flanagan,Annalise Basso,72700000,0.8898408812729498,Platinum Dunes,Horror,,
Dog,20000000,84774243,101,4.5653,7.3,1619,False,Channing Tatum,Channing Tatum,64774243,0.7640792852612084,FilmNation Entertainment,Drama,Comedy,
The Hills Have Eyes 2,15000000,37697773,90,4.5651,5.6,1502,True,Martin Weisz,Michael McMillian,22697773,0.6020985112303584,Fox Atomic,Horror,Thriller,
Walk the Line,28000000,186800000,136,4.5638,7.503,2959,False,James Mangold,Joaquin Phoenix,158800000,0.8501070663811563,Mars Media Beteiligungs,Drama,Music,Romance
Room,13000000,35401758,118,4.5632,8.0,9348,False,Lenny Abrahamson,Brie Larson,22401758,0.6327865977729129,Téléfilm Canada,Drama,Thriller,
Vice,60000000,76100000,132,4.5605,7.0,3419,False,Adam McKay,Christian Bale,16100000,0.21156373193166886,Annapurna Pictures,Drama,Comedy,
Black Mass,53000000,99975678,123,4.5555,6.5,3415,False,Scott Cooper,Johnny Depp,46975678,0.4698710620397093,Vendian Entertainment,Drama,Crime,History
The Cell,33000000,104155843,107,4.5545,6.272,1571,True,Tarsem Singh,Jennifer Lopez,71155843,0.6831670787782881,Caro-McLeod,Horror,Science Fiction,Thriller
Cheaper by the Dozen 2,60000000,129181830,94,4.5542,6.2,2011,True,Adam Shankman,Steve Martin,69181830,0.5355383957635528,20th Century Fox,Comedy,Family,Adventure
"Dude, Where's My Car?",13000000,73180723,83,4.5537,5.547,1934,False,Danny Leiner,Ashton Kutcher,60180723,0.8223575899899213,20th Century Fox,Comedy,Romance,Science Fiction
Elf,32000000,228500000,97,4.552,6.655,4202,False,Jon Favreau,Will Ferrell,196500000,0.8599562363238512,New Line Cinema,Comedy,Family,Fantasy
Just Like Heaven,58000000,102900000,95,4.5497,6.963,2416,False,Mark Waters,Reese Witherspoon,44900000,0.4363459669582119,DreamWorks Pictures,Drama,Comedy,Romance
Percy Jackson: Sea of Monsters,90000000,199850315,106,4.5491,6.027,5185,True,Thor Freudenthal,Logan Lerman,109850315,0.5496629564982172,Fox 2000 Pictures,Adventure,Family,Fantasy
Emily the Criminal,2000000,2157673,97,4.5482,6.669,887,False,John Patton Ford,Aubrey Plaza,157673,0.073075484561377,Low Spark Films,Crime,Drama,Thriller
Amsterdam,80000000,31245810,134,4.5427,6.059,1615,False,David O. Russell,Christian Bale,-48754190,-1.5603432908284343,DreamCrew,Mystery,Comedy,Drama
Remember Me,16000000,56000000,113,4.5389,7.114,3577,False,Allen Coulter,Robert Pattinson,40000000,0.7142857142857143,Summit Entertainment,Drama,Romance,
Identity,28000000,90259536,90,4.5364,7.2,4012,False,James Mangold,John Cusack,62259536,0.6897834706351692,Konrad Pictures,Mystery,Thriller,
The Drop,12600000,19054534,106,4.5327,6.801,2253,False,Michaël R. Roskam,Tom Hardy,6454534,0.3387400605021356,Fox Searchlight Pictures,Drama,Crime,
47 Meters Down: Uncaged,12000000,47582563,90,4.5309,5.7,1438,True,Johannes Roberts,Sophie Nélisse,35582563,0.7478067753517187,The Fyzz,Horror,Thriller,
Sorry to Bother You,3200000,18200000,112,4.5288,6.8,1613,False,Boots Riley,LaKeith Stanfield,15000000,0.8241758241758241,Cinereach,Fantasy,Science Fiction,Comedy
Bride Wars,30000000,115375850,89,4.5251,6.238,3069,False,Gary Winick,Kate Hudson,85375850,0.7399802471661098,Fox 2000 Pictures,Comedy,Romance,
The Next Three Days,30000000,67448651,133,4.5239,7.085,2921,False,Paul Haggis,Russell Crowe,37448651,0.5552171977464753,Hwy61,Romance,Drama,Thriller
Ali,107000000,87700000,157,4.5228,6.763,1757,False,Michael Mann,Will Smith,-19300000,-0.22006841505131128,Columbia Pictures,Drama,,
Underwater,50000000,40882928,95,4.5202,6.3,3216,False,William Eubank,Kristen Stewart,-9117072,-0.22300437972544432,Chernin Entertainment,Horror,Science Fiction,Action
Monte Carlo,20000000,39800000,109,4.5177,6.6,2157,False,Thomas Bezucha,Selena Gomez,19800000,0.49748743718592964,Blossom Films,Adventure,Comedy,Romance
Precious,10000000,47536959,110,4.5143,7.317,1666,False,Lee Daniels,Gabourey Sidibe,37536959,0.789637364056039,Smokewood Entertainment Group,Drama,,
Burnt,20000000,36606743,100,4.5118,6.5,3427,False,John Wells,Bradley Cooper,16606743,0.4536525688723523,3 Arts Entertainment,Drama,,
American Assassin,33000000,67200000,112,4.51,6.4,3079,False,Michael Cuesta,Dylan O'Brien,34200000,0.5089285714285714,TIK Films,Action,Adventure,Thriller
Little Nicky,85000000,58292295,90,4.5075,5.856,1864,False,Steven Brill,Adam Sandler,-26707705,-0.45816869965404516,Avery Pix,Comedy,Fantasy,
"Roman J. Israel, Esq.",22000000,13025860,122,4.501,6.3,1307,False,Dan Gilroy,Denzel Washington,-8974140,-0.6889479850082835,Culture China - Image Nation Abu Dhabi Fund,Drama,Crime,Thriller
A History of Violence,32000000,61477797,96,4.4996,7.167,3397,False,David Cronenberg,Viggo Mortensen,29477797,0.479486878815778,New Line Cinema,Drama,Thriller,Crime
How High,12000000,31200000,93,4.4931,6.3,972,True,Jesse Dylan,Method Man,19200000,0.6153846153846154,Universal Pictures,Comedy,,
Let's Be Cops,17000000,136600000,104,4.4911,6.5,2822,False,Luke Greenfield,Jake Johnson,119600000,0.8755490483162518,WideAwake Pictures,Comedy,,
Anna Karenina,40600000,68929150,130,4.4908,6.7,2314,False,Joe Wright,Keira Knightley,28329150,0.4109893999853473,Working Title Films,Drama,Romance,History
Signs,72000000,408200000,106,4.4905,6.698,5809,False,M. Night Shyamalan,Mel Gibson,336200000,0.8236158745712886,Touchstone Pictures,Drama,Thriller,Science Fiction
The American,20000000,67900000,104,4.4901,5.97,1390,False,Anton Corbijn,George Clooney,47900000,0.7054491899852725,Twins Financing,Crime,Drama,Thriller
The Animatrix,5000000,68000000,102,4.4864,7.19,1631,False,Yoshiaki Kawajiri,Keanu Reeves,63000000,0.9264705882352942,Warner Bros. Pictures,Animation,Science Fiction,
Final Fantasy: The Spirits Within,137000000,85131830,106,4.4829,6.194,1499,False,Hironobu Sakaguchi,Ming-Na Wen,-51868170,-0.609268824598273,Chris Lee Productions,Adventure,Action,Fantasy
Surrogates,80000000,122444772,89,4.4828,6.135,3238,False,Jonathan Mostow,Bruce Willis,42444772,0.3466442160552188,Wintergreen Productions,Science Fiction,Action,Thriller
Peppermint,25000000,53918723,102,4.4821,6.7,2102,False,Pierre Morel,Jennifer Garner,28918723,0.5363391673797616,STXfilms,Action,Thriller,
School of Rock,35000000,131100000,110,4.4815,7.084,5795,False,Richard Linklater,Jack Black,96100000,0.7330282227307399,Paramount Pictures,Comedy,Music,
Diary of a Wimpy Kid: Rodrick Rules,21000000,72526996,99,4.4802,6.7,1171,True,David Bowers,Zachary Gordon,51526996,0.7104526430406686,Color Force,Family,Comedy,
Eden Lake,12850990,3984669,91,4.4795,6.821,1879,False,James Watkins,Kelly Reilly,-8866321,-2.225108534736511,Rollercoaster Films,Horror,Thriller,
Mr. Bean's Holiday,25000000,232225908,90,4.479,6.355,2925,True,Steve Bendelack,Rowan Atkinson,207225908,0.8923462062639453,Tiger Aspect,Family,Comedy,
How to Be Single,38000000,112343513,110,4.4738,6.3,3246,False,Christian Ditter,Dakota Johnson,74343513,0.6617517203685807,New Line Cinema,Comedy,Romance,
But I'm a Cheerleader,1200000,2600000,85,4.4732,7.055,729,False,Jamie Babbit,Natasha Lyonne,1400000,0.5384615384615384,Ignite Entertainment,Comedy,Romance,
King Arthur,120000000,203567857,126,4.4732,6.298,2763,False,Antoine Fuqua,Clive Owen,83567857,0.41051597355077524,Jerry Bruckheimer Films,Adventure,War,History
What's Your Number?,20000000,30426096,106,4.4688,6.465,2362,False,Mark Mylod,Anna Faris,10426096,0.3426695294723319,Regency Enterprises,Comedy,Romance,
Uncle Drew,19000000,17700000,103,4.4633,6.7,574,False,Charles Stone III,Kyrie Irving,-1300000,-0.07344632768361582,Lionsgate,Comedy,,
Antlers,17000000,18867659,99,4.4599,6.222,1126,False,Scott Cooper,Keri Russell,1867659,0.09898732004855504,Searchlight Pictures,Drama,Horror,Mystery
The Peanut Butter Falcon,6200000,23712097,97,4.4584,7.4,1477,False,Tyler Nilson,Shia LaBeouf,17512097,0.738530084454361,Armory Films,Adventure,Comedy,Drama
Star Wars: The Clone Wars,8500000,68282844,98,4.4584,6.1,2075,False,Dave Filoni,Matt Lanter,59782844,0.875517780132298,Lucasfilm Ltd.,Animation,Action,Science Fiction
The Vow,30000000,196114570,104,4.4577,7.241,4115,False,Michael Sucsy,Rachel McAdams,166114570,0.84702819377469,Spyglass Entertainment,Drama,Romance,
Tolkien,20000000,8654322,112,4.4566,6.947,1450,False,Dome Karukoski,Nicholas Hoult,-11345678,-1.3109840378021524,Fox Searchlight Pictures,War,Drama,Romance
The Big Sick,5000000,56303596,120,4.4525,7.3,2489,False,Michael Showalter,Kumail Nanjiani,51303596,0.9111957254026901,FilmNation Entertainment,Comedy,Drama,Romance
Basic Instinct 2,70000000,38629478,114,4.4491,5.0,785,True,Michael Caton-Jones,Sharon Stone,-31370522,-0.8120876497476875,Metro-Goldwyn-Mayer,Crime,Mystery,Thriller
Sex Drive,19000000,18755936,109,4.449,6.383,1391,False,Sean Anders,Josh Zuckerman,-244064,-0.013012627042446722,Summit Entertainment,Comedy,Adventure,Romance
Ghost Ship,35000000,71142361,91,4.4486,6.0,2481,False,Steve Beck,Gabriel Byrne,36142361,0.5080286975575635,Village Roadshow Pictures,Horror,Mystery,Thriller
47 Meters Down,5500000,62198461,89,4.447,5.8,2762,True,Johannes Roberts,Mandy Moore,56698461,0.911573374781733,Lantica Media,Horror,Thriller,
First Man,70000000,105713218,141,4.4462,7.0,5380,False,Damien Chazelle,Ryan Gosling,35713218,0.33783114993245217,Universal Pictures,History,Drama,
Watcher,5000000,2543216,96,4.446,6.5,1018,False,Chloe Okuno,Maika Monroe,-2456784,-0.9660146837704702,Image Nation Abu Dhabi,Horror,Mystery,Thriller
Freedom Writers,21000000,43095175,123,4.4456,7.924,2300,False,Richard LaGravenese,Hilary Swank,22095175,0.5127064688796368,Double Feature Films,Crime,Drama,
Cats & Dogs: The Revenge of Kitty Galore,85000000,112483764,82,4.445,5.2,651,True,Brad Peyton,James Marsden,27483764,0.24433538692748583,Village Roadshow Pictures,Family,Adventure,Comedy
The Imaginarium of Doctor Parnassus,30000000,64352607,123,4.4432,6.4,2745,False,Terry Gilliam,Christopher Plummer,34352607,0.5338184201302054,Infinity Features,Adventure,Fantasy,Mystery
Machete,10500000,45491656,105,4.441,6.339,3366,True,Robert Rodriguez,Danny Trejo,34991656,0.7691884419419684,Overnight Films,Action,Comedy,Thriller
The World's End,20000000,46100000,109,4.4377,6.8,5538,False,Edgar Wright,Simon Pegg,26100000,0.5661605206073753,Big Talk Studios,Comedy,Action,Science Fiction
Drive-Away Dolls,8000000,7935363,84,4.4373,5.5,449,False,Ethan Coen,Margaret Qualley,-64637,-0.008145437077043608,Focus Features,Comedy,Crime,
Æon Flux,62000000,53321673,93,4.4319,5.625,2291,False,Karyn Kusama,Charlize Theron,-8678327,-0.16275421440733864,Paramount Pictures,Science Fiction,Action,Thriller
Mary Poppins Returns,130000000,348807090,131,4.4272,6.5,3356,True,Rob Marshall,Emily Blunt,218807090,0.6273011537695521,Walt Disney Pictures,Fantasy,Family,Comedy
