title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
Dunkirk,150000000,527000000,107,"['War', 'Action', 'Drama']",39.5914,7.45,16800,False,Christopher Nolan,Fionn Whitehead,377000000,0.715370018975332,2017,Warner Bros. Pictures,War,Action,Drama
Interstellar,165000000,746606706,169,"['Adventure', 'Drama', 'Science Fiction']",37.044,8.5,37194,False,Christopher Nolan,Matthew McConaughey,581606706,0.7790001098650726,2014,Legendary Pictures,Adventure,Drama,Science Fiction
Anora,6000000,56286295,139,"['Drama', 'Comedy', 'Romance']",36.6217,7.059,2206,False,Sean Baker,Mikey Madison,50286295,0.8934021150264021,2024,Cre Film,Drama,Comedy,Romance
Mission: Impossible - Fallout,178000000,791658205,147,"['Action', 'Adventure']",35.933,7.4,8525,True,Christopher McQuarrie,Tom Cruise,613658205,0.7751554915040639,2018,Paramount Pictures,Action,Adventure,
Harry Potter and the Philosopher's Stone,125000000,976475550,152,"['Adventure', 'Fantasy']",34.1613,7.9,28235,True,Chris Columbus,Daniel Radcliffe,851475550,0.871988602274783,2001,Warner Bros. Pictures,Adventure,Fantasy,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,143,"['Adventure', 'Family', 'Fantasy']",34.1258,7.1,10927,True,Andrew Adamson,William Moseley,565013115,0.7583935149920146,2005,Walt Disney Pictures,Adventure,Family,Fantasy
Memoir of a Snail,4350000,6780428,94,"['Animation', 'Drama', 'Comedy']",34.0315,8.062,520,False,Adam Elliot,Sarah Snook,2430428,0.3584475788254075,2024,Arenamedia,Animation,Drama,Comedy
How to Train Your Dragon,165000000,494879471,98,"['Fantasy', 'Adventure', 'Animation', 'Family']",32.7006,7.84,13415,True,Chris Sanders,Jay Baruchel,329879471,0.6665854825891535,2010,DreamWorks Animation,Fantasy,Adventure,Animation
Top Gun: Maverick,170000000,1488732821,131,"['Action', 'Drama']",32.68,8.176,9873,True,Joseph Kosinski,Tom Cruise,1318732821,0.8858089258179926,2022,Skydance Media,Action,Drama,
Alien: Romulus,80000000,350865342,119,"['Horror', 'Science Fiction']",32.6551,7.197,3663,True,Fede Álvarez,Cailee Spaeny,270865342,0.7719922989714955,2024,20th Century Studios,Horror,Science Fiction,
The Conjuring,13000000,320415166,112,"['Horror', 'Thriller']",32.6219,7.541,11867,True,James Wan,Patrick Wilson,307415166,0.9594276383284555,2013,Evergreen Media Group,Horror,Thriller,
Red One,250000000,185700759,124,"['Action', 'Comedy', 'Fantasy']",32.4652,7.0,2525,False,Jake Kasdan,Dwayne Johnson,-64299241,-0.3462519019644933,2024,Seven Bucks Productions,Action,Comedy,Fantasy
Blade Runner 2049,150000000,259239658,164,"['Science Fiction', 'Drama']",31.6013,7.6,14147,True,Denis Villeneuve,Ryan Gosling,109239658,0.4213848253109484,2017,Alcon Entertainment,Science Fiction,Drama,
Black Widow,200000000,379751131,134,"['Action', 'Adventure', 'Science Fiction']",31.5639,7.2,10556,False,Cate Shortland,Scarlett Johansson,179751131,0.4733392907261677,2021,Marvel Studios,Action,Adventure,Science Fiction
Spider-Man: No Way Home,200000000,1921847111,148,"['Action', 'Adventure', 'Science Fiction']",31.444,7.9,20783,True,Jon Watts,Tom Holland,1721847111,0.8959334492034939,2021,Marvel Studios,Action,Adventure,Science Fiction
Mission: Impossible - Ghost Protocol,145000000,694713380,133,"['Action', 'Thriller', 'Adventure']",31.3525,7.099,10163,True,Brad Bird,Tom Cruise,549713380,0.7912808300885179,2011,Paramount Pictures,Action,Thriller,Adventure
Fast X,340000000,704709660,142,"['Action', 'Crime', 'Thriller', 'Adventure', 'Mystery']",30.9673,7.04,5903,True,Louis Leterrier,Vin Diesel,364709660,0.5175318016784387,2023,Universal Pictures,Action,Crime,Thriller
Bad Boys: Ride or Die,100000000,404547819,115,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",30.8378,7.377,2908,True,Adil El Arbi,Will Smith,304547819,0.7528104335176258,2024,Westbrook,Action,Comedy,Crime
Oppenheimer,100000000,952000000,181,"['Drama', 'History']",30.61,8.058,10275,False,Christopher Nolan,Cillian Murphy,852000000,0.8949579831932774,2023,Syncopy,Drama,History,
Shrek,60000000,488628188,90,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",28.9933,7.752,17699,True,Andrew Adamson,Mike Myers,428628188,0.8772072478143648,2001,Pacific Data Images,Animation,Comedy,Fantasy
John Wick: Chapter 4,100000000,440157245,170,"['Action', 'Thriller', 'Crime']",28.9866,7.724,7080,True,Chad Stahelski,Keanu Reeves,340157245,0.7728084653019854,2023,Thunder Road,Action,Thriller,Crime
Coraline,60000000,185860104,100,"['Animation', 'Family', 'Fantasy']",28.9237,7.9,8383,False,Henry Selick,Dakota Fanning,125860104,0.677176549949633,2009,Laika,Animation,Family,Fantasy
The Dark Knight,185000000,1004558444,152,"['Drama', 'Action', 'Crime', 'Thriller']",27.8824,8.5,33880,True,Christopher Nolan,Christian Bale,819558444,0.8158394853928479,2008,Warner Bros. Pictures,Drama,Action,Crime
Dune: Part Two,190000000,714444358,167,"['Science Fiction', 'Adventure']",27.8585,8.1,6694,True,Denis Villeneuve,Timothée Chalamet,524444358,0.7340590658006148,2024,Legendary Pictures,Science Fiction,Adventure,
Inception,160000000,839030630,148,"['Action', 'Science Fiction', 'Adventure']",27.765,8.4,37500,False,Christopher Nolan,Leonardo DiCaprio,679030630,0.8093037437739311,2010,Legendary Pictures,Action,Science Fiction,Adventure
Mission: Impossible - Rogue Nation,150000000,682716636,131,"['Action', 'Adventure']",27.5132,7.2,9106,True,Christopher McQuarrie,Tom Cruise,532716636,0.7802895197063866,2015,Paramount Pictures,Action,Adventure,
The Accountant,44000000,155160045,128,"['Crime', 'Thriller', 'Drama']",27.3293,7.111,6583,True,Gavin O'Connor,Ben Affleck,111160045,0.7164218404293451,2016,Zero Gravity Management,Crime,Thriller,Drama
The Super Mario Bros. Movie,100000000,1362000000,93,"['Family', 'Comedy', 'Adventure', 'Animation']",27.2819,7.621,9705,True,Aaron Horvath,Chris Pratt,1262000000,0.9265785609397944,2023,Universal Pictures,Family,Comedy,Adventure
Zootopia,150000000,1023784195,109,"['Animation', 'Adventure', 'Family', 'Comedy']",27.1957,7.747,16699,True,Byron Howard,Jason Bateman,873784195,0.8534847473397458,2016,Walt Disney Animation Studios,Animation,Adventure,Family
Barbie,145000000,1445638421,114,"['Comedy', 'Adventure']",27.0109,6.972,9914,False,Greta Gerwig,Margot Robbie,1300638421,0.8996982939207591,2023,LuckyChap Entertainment,Comedy,Adventure,
Wicked,150000000,755765715,162,"['Drama', 'Romance', 'Fantasy']",27.0065,6.931,2142,True,Jon M. Chu,Cynthia Erivo,605765715,0.8015257942734277,2024,Universal Pictures,Drama,Romance,Fantasy
The Maze Runner,34000000,348319861,113,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",26.9821,7.19,17354,True,Wes Ball,Dylan O'Brien,314319861,0.9023885692237342,2014,Ingenious Media,Action,Mystery,Science Fiction
Spider-Man: Across the Spider-Verse,100000000,690897910,140,"['Animation', 'Action', 'Adventure', 'Science Fiction']",26.0333,8.344,7588,True,Kemp Powers,Shameik Moore,590897910,0.8552608155957513,2023,Columbia Pictures,Animation,Action,Adventure
Mission: Impossible III,150000000,398479497,126,"['Adventure', 'Action', 'Thriller']",25.7879,6.7,7088,True,J.J. Abrams,Tom Cruise,248479497,0.6235690891770023,2006,Paramount Pictures,Adventure,Action,Thriller
Puss in Boots: The Last Wish,90000000,484700000,103,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']",25.6523,8.216,8210,True,Joel Crawford,Antonio Banderas,394700000,0.814318134928822,2022,DreamWorks Animation,Animation,Adventure,Fantasy
Conclave,20000000,115657988,120,"['Drama', 'Thriller', 'Mystery']",25.6301,7.186,2546,False,Edward Berger,Ralph Fiennes,95657988,0.8270763624212449,2024,FilmNation Entertainment,Drama,Thriller,Mystery
Avengers: Endgame,356000000,2799439100,181,"['Adventure', 'Science Fiction', 'Action']",25.5902,8.239,26370,True,Anthony Russo,Robert Downey Jr.,2443439100,0.8728316683152707,2019,Marvel Studios,Adventure,Science Fiction,Action
Avatar: The Way of Water,460000000,2320250281,192,"['Science Fiction', 'Adventure', 'Action']",25.5336,7.611,12577,True,James Cameron,Sam Worthington,1860250281,0.801745525572463,2022,20th Century Studios,Science Fiction,Adventure,Action
Nobody,17000000,61779301,91,"['Action', 'Thriller']",25.4674,7.926,7405,True,Ilya Naishuller,Bob Odenkirk,44779301,0.7248269286827962,2021,87North Productions,Action,Thriller,
The Hangover,35000000,469310836,100,['Comedy'],25.3111,7.323,17265,True,Todd Phillips,Bradley Cooper,434310836,0.9254225615195469,2009,Legendary Pictures,Comedy,,
Mission: Impossible II,125000000,546388108,123,"['Adventure', 'Action', 'Thriller']",25.0923,6.128,7021,True,John Woo,Tom Cruise,421388108,0.7712248891039187,2000,Paramount Pictures,Adventure,Action,Thriller
Fifty Shades of Grey,40000000,569651467,125,"['Drama', 'Romance', 'Thriller']",24.934,5.886,11990,True,Sam Taylor-Johnson,Dakota Johnson,529651467,0.9297816255777325,2015,Universal Pictures,Drama,Romance,Thriller
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,"['Adventure', 'Fantasy', 'Action']",24.9266,8.421,25995,True,Peter Jackson,Elijah Wood,778368364,0.8932713145872255,2001,New Line Cinema,Adventure,Fantasy,Action
Elevation,18000000,3300000,91,"['Action', 'Science Fiction', 'Thriller']",24.8851,6.5,722,False,George Nolfi,Anthony Mackie,-14700000,-4.454545454545454,2024,Lyrical Media,Action,Science Fiction,Thriller
The Wolf of Wall Street,100000000,407038432,180,"['Crime', 'Drama', 'Comedy']",24.7536,8.03,24643,False,Martin Scorsese,Leonardo DiCaprio,307038432,0.7543229529736396,2013,Red Granite Pictures,Crime,Drama,Comedy
Dune,165000000,407573628,155,"['Science Fiction', 'Adventure']",24.7089,7.8,13570,True,Denis Villeneuve,Timothée Chalamet,242573628,0.5951651709908964,2021,Legendary Pictures,Science Fiction,Adventure,
Avatar,237000000,2923706026,162,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",24.4044,7.6,32266,True,James Cameron,Sam Worthington,2686706026,0.9189384986409711,2009,Dune Entertainment,Action,Adventure,Fantasy
Gladiator,103000000,465516248,155,"['Action', 'Drama', 'Adventure']",24.2967,8.22,19725,True,Ridley Scott,Russell Crowe,362516248,0.7787402685888635,2000,Universal Pictures,Action,Drama,Adventure
Harry Potter and the Chamber of Secrets,100000000,876688482,161,"['Adventure', 'Fantasy']",24.2307,7.708,22544,True,Chris Columbus,Daniel Radcliffe,776688482,0.8859343973906572,2002,Warner Bros. Pictures,Adventure,Fantasy,
The Social Network,40000000,224920315,121,['Drama'],23.8536,7.37,12443,False,David Fincher,Jesse Eisenberg,184920315,0.8221592389286846,2010,Columbia Pictures,Drama,,
Godzilla x Kong: The New Empire,150000000,571750016,115,"['Action', 'Adventure', 'Science Fiction']",23.7434,7.089,4200,False,Adam Wingard,Rebecca Hall,421750016,0.7376475805817905,2024,Legendary Pictures,Action,Adventure,Science Fiction
The Garfield Movie,60000000,254907482,100,"['Family', 'Comedy', 'Adventure', 'Animation']",23.6807,7.063,1267,False,Mark Dindal,Chris Pratt,194907482,0.7646204829719356,2024,Alcon Entertainment,Family,Comedy,Adventure
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,"['Adventure', 'Fantasy']",23.6375,8.011,22120,True,Alfonso Cuarón,Daniel Radcliffe,659804554,0.8354023165077876,2004,Warner Bros. Pictures,Adventure,Fantasy,
Twilight,37000000,393616788,122,"['Fantasy', 'Drama', 'Romance']",23.6245,6.3,13800,True,Catherine Hardwicke,Kristen Stewart,356616788,0.9059999442909941,2008,Summit Entertainment,Fantasy,Drama,Romance
The Karate Kid,40000000,359126022,140,"['Action', 'Adventure', 'Drama', 'Family']",23.4646,6.6,6191,True,Harald Zwart,Jaden Smith,319126022,0.8886184861313113,2010,Jerry Weintraub Productions,Action,Adventure,Drama
Smile 2,28000000,138128854,127,"['Horror', 'Mystery']",23.2264,6.589,1563,True,Parker Finn,Naomi Scott,110128854,0.7972907239207241,2024,Paramount Pictures,Horror,Mystery,
Terrifier 3,2000000,90322103,125,"['Horror', 'Thriller']",23.1073,6.8,1594,True,Damien Leone,Lauren LaVera,88322103,0.9778570257603502,2024,Cineverse,Horror,Thriller,
After,14000000,69497587,106,"['Romance', 'Drama']",23.0849,7.12,8344,True,Jenny Gage,Josephine Langford,55497587,0.7985541569954077,2019,CalMaple Films,Romance,Drama,
The Batman,185000000,772319315,177,"['Crime', 'Mystery', 'Thriller']",23.0489,7.655,10919,True,Matt Reeves,Robert Pattinson,587319315,0.7604617722139968,2022,6th & Idaho Motion Picture Company,Crime,Mystery,Thriller
Whiplash,3300000,50307484,107,"['Drama', 'Music']",22.8286,8.376,15651,False,Damien Chazelle,Miles Teller,47007484,0.9344033981107065,2014,Bold Films,Drama,Music,
Babygirl,20000000,60934894,115,['Drama'],22.6936,5.752,755,False,Halina Reijn,Nicole Kidman,40934894,0.6717808354602208,2024,A24,Drama,,
The Beekeeper,35000000,152720535,105,"['Action', 'Crime', 'Thriller']",22.5612,7.316,3564,True,David Ayer,Jason Statham,117720535,0.7708232229542674,2024,Miramax,Action,Crime,Thriller
Annabelle,6500000,257589952,99,['Horror'],22.5427,5.78,6222,True,John R. Leonetti,Annabelle Wallis,251089952,0.9747660964663715,2014,Atomic Monster,Horror,,
How to Train Your Dragon 2,145000000,621537519,102,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",22.4798,7.673,9824,True,Dean DeBlois,Jay Baruchel,476537519,0.7667075670133439,2014,DreamWorks Animation,Fantasy,Action,Adventure
Wonder Woman,149000000,823970682,141,"['Action', 'Adventure', 'Fantasy']",22.4579,7.216,20235,True,Patty Jenkins,Gal Gadot,674970682,0.819168323272939,2017,Atlas Entertainment,Action,Adventure,Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,"['Adventure', 'Fantasy', 'Action']",22.4012,7.811,21147,True,Gore Verbinski,Johnny Depp,515011224,0.7862632045523543,2003,Walt Disney Pictures,Adventure,Fantasy,Action
Prisoners,46000000,122126687,153,"['Drama', 'Thriller', 'Crime']",22.2349,8.099,12187,False,Denis Villeneuve,Hugh Jackman,76126687,0.6233419481853298,2013,Alcon Entertainment,Drama,Thriller,Crime
Furiosa: A Mad Max Saga,168000000,174287546,149,"['Action', 'Science Fiction', 'Adventure']",22.2264,7.477,4174,True,George Miller,Anya Taylor-Joy,6287546,0.036075704456817584,2024,Warner Bros. Pictures,Action,Science Fiction,Adventure
Fury,68000000,211817906,135,"['War', 'Drama', 'Action']",22.1844,7.54,12301,False,David Ayer,Brad Pitt,143817906,0.6789695390530393,2014,Columbia Pictures,War,Drama,Action
The Conjuring: The Devil Made Me Do It,39000000,206431050,111,"['Horror', 'Mystery', 'Thriller']",21.9395,7.406,6059,True,Michael Chaves,Patrick Wilson,167431050,0.8110749327681083,2021,New Line Cinema,Horror,Mystery,Thriller
Harry Potter and the Goblet of Fire,150000000,895921036,157,"['Adventure', 'Fantasy']",21.9376,7.8,21191,True,Mike Newell,Daniel Radcliffe,745921036,0.8325745305973595,2005,Warner Bros. Pictures,Adventure,Fantasy,
Coco,175000000,807816196,105,"['Family', 'Animation', 'Music', 'Adventure']",21.8497,8.205,19980,True,Lee Unkrich,Anthony Gonzalez,632816196,0.7833665617667314,2017,Pixar,Family,Animation,Music
The Lord of the Rings: The Return of the King,94000000,1118888979,201,"['Adventure', 'Fantasy', 'Action']",21.6855,8.484,25107,True,Peter Jackson,Elijah Wood,1024888979,0.9159880901820913,2003,New Line Cinema,Adventure,Fantasy,Action
Maleficent,180000000,758539785,97,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",21.5419,7.089,13295,True,Robert Stromberg,Angelina Jolie,578539785,0.7627019655930111,2014,Walt Disney Pictures,Fantasy,Adventure,Action
Spider-Man,139000000,821708551,121,"['Action', 'Science Fiction']",21.508,7.311,19615,True,Sam Raimi,Tobey Maguire,682708551,0.8308402658937403,2002,Marvel Enterprises,Action,Science Fiction,
Doctor Strange in the Multiverse of Madness,200000000,955775804,126,"['Fantasy', 'Action', 'Adventure']",21.2148,7.259,9548,True,Sam Raimi,Benedict Cumberbatch,755775804,0.790745905930048,2022,Marvel Studios,Fantasy,Action,Adventure
Inside Out,175000000,857611174,95,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",20.9447,7.911,22515,True,Pete Docter,Amy Poehler,682611174,0.7959448228924312,2015,Pixar,Animation,Family,Adventure
"Monsters, Inc.",115000000,579700000,92,"['Animation', 'Comedy', 'Family']",20.8698,7.844,18864,True,Pete Docter,John Goodman,464700000,0.8016215283767466,2001,Pixar,Animation,Comedy,Family
The Conjuring 2,40000000,322811702,134,['Horror'],20.8073,7.291,8595,True,James Wan,Patrick Wilson,282811702,0.8760887546759379,2016,New Line Cinema,Horror,,
Hacksaw Ridge,40000000,175302354,139,"['Drama', 'History', 'War']",20.7436,8.193,14108,False,Mel Gibson,Andrew Garfield,135302354,0.7718228016493149,2016,Summit Entertainment,Drama,History,War
Frozen,150000000,1274219009,102,"['Animation', 'Family', 'Adventure', 'Fantasy']",20.6234,7.247,16871,True,Chris Buck,Idina Menzel,1124219009,0.8822808332472459,2013,Walt Disney Pictures,Animation,Family,Adventure
Cruella,200000000,233503234,134,"['Comedy', 'Crime', 'Adventure']",20.4894,7.994,9575,True,Craig Gillespie,Emma Stone,33503234,0.14348081363190027,2021,Walt Disney Pictures,Comedy,Crime,Adventure
Iron Man,140000000,585174222,126,"['Action', 'Science Fiction', 'Adventure']",20.4767,7.651,26986,True,Jon Favreau,Robert Downey Jr.,445174222,0.7607550115220215,2008,Marvel Studios,Action,Science Fiction,Adventure
Spider-Man: Homecoming,175000000,880166924,133,"['Action', 'Adventure', 'Science Fiction', 'Drama']",20.3039,7.331,22215,True,Jon Watts,Tom Holland,705166924,0.8011740782024661,2017,Marvel Studios,Action,Adventure,Science Fiction
The Lord of the Rings: The War of the Rohirrim,30000000,20658572,134,"['Animation', 'Fantasy', 'Adventure', 'Action']",20.2969,6.7,602,False,Kenji Kamiyama,Brian Cox,-9341428,-0.452181690002581,2024,New Line Cinema,Animation,Fantasy,Adventure
Transformers One,75000000,128888103,104,"['Animation', 'Science Fiction', 'Adventure', 'Family']",20.0792,8.082,1247,False,Josh Cooley,Chris Hemsworth,53888103,0.4180999001901673,2024,Paramount Animation,Animation,Science Fiction,Adventure
Azrael,12000000,631272,86,"['Action', 'Horror', 'Thriller']",20.0687,6.005,312,False,E.L. Katz,Samara Weaving,-11368728,-18.009238489906096,2024,C2 Motion Picture Group,Action,Horror,Thriller
Tangled,260000000,592461732,100,"['Animation', 'Family', 'Adventure']",20.0604,7.608,11756,True,Byron Howard,Mandy Moore,332461732,0.5611530906438359,2010,Walt Disney Animation Studios,Animation,Family,Adventure
Heretic,10000000,51913394,111,"['Horror', 'Thriller']",19.7923,7.018,1736,False,Scott Beck,Hugh Grant,41913394,0.8073714849004093,2024,A24,Horror,Thriller,
Sonic the Hedgehog 2,110000000,405421518,123,"['Action', 'Adventure', 'Family', 'Comedy']",19.5582,7.465,5511,True,Jeff Fowler,Ben Schwartz,295421518,0.7286774502186142,2022,Original Film,Action,Adventure,Family
Transformers: Rise of the Beasts,195000000,441381193,127,"['Science Fiction', 'Adventure', 'Action']",19.5348,7.236,4914,False,Steven Caple Jr.,Anthony Ramos,246381193,0.5582050094282109,2023,Skydance Media,Science Fiction,Adventure,Action
The Hobbit: The Battle of the Five Armies,250000000,956019788,144,"['Action', 'Adventure', 'Fantasy']",19.5187,7.3,14615,True,Peter Jackson,Ian McKellen,706019788,0.7384991365890012,2014,New Line Cinema,Action,Adventure,Fantasy
Ratatouille,150000000,623726000,111,"['Animation', 'Comedy', 'Family', 'Fantasy']",19.5175,7.827,17507,False,Brad Bird,Patton Oswalt,473726000,0.7595097847452247,2007,Pixar,Animation,Comedy,Family
Catch Me If You Can,52000000,352114312,141,"['Drama', 'Crime']",19.4933,7.977,16107,False,Steven Spielberg,Leonardo DiCaprio,300114312,0.8523206861299066,2002,Parkes/MacDonald Productions,Drama,Crime,
The Notebook,29000000,115600000,123,"['Romance', 'Drama']",19.438,7.9,11890,False,Nick Cassavetes,Ryan Gosling,86600000,0.7491349480968859,2004,New Line Cinema,Romance,Drama,
The Suicide Squad,185000000,168717425,132,"['Action', 'Comedy', 'Adventure']",19.3521,7.487,8906,True,James Gunn,Margot Robbie,-16282575,-0.09650796294455063,2021,DC Films,Action,Comedy,Adventure
Harry Potter and the Deathly Hallows: Part 2,125000000,1341511219,130,"['Fantasy', 'Adventure']",19.3444,8.087,21035,True,David Yates,Daniel Radcliffe,1216511219,0.9068215023254308,2011,Warner Bros. Pictures,Fantasy,Adventure,
Shutter Island,80000000,294804195,138,"['Drama', 'Thriller', 'Mystery']",19.3425,8.201,24555,False,Martin Scorsese,Leonardo DiCaprio,214804195,0.7286334409183017,2010,Paramount Pictures,Drama,Thriller,Mystery
Grown Ups,80000000,271430189,102,['Comedy'],19.3081,6.395,6298,True,Dennis Dugan,Adam Sandler,191430189,0.7052649143607235,2010,Columbia Pictures,Comedy,,
Shrek 2,150000000,935454538,92,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",19.2217,7.295,12684,True,Conrad Vernon,Mike Myers,785454538,0.8396501444947825,2004,DreamWorks Animation,Animation,Family,Comedy
28 Days Later,8000000,84661434,113,"['Horror', 'Thriller', 'Science Fiction']",19.2097,7.236,7128,True,Danny Boyle,Cillian Murphy,76661434,0.9055059709950105,2002,DNA Films,Horror,Thriller,Science Fiction
How to Train Your Dragon: The Hidden World,129000000,524580592,104,"['Animation', 'Family', 'Adventure']",19.1683,7.749,6599,True,Dean DeBlois,Jay Baruchel,395580592,0.7540892629897371,2019,DreamWorks Animation,Animation,Family,Adventure
Encanto,135000000,261289554,102,"['Animation', 'Comedy', 'Family', 'Fantasy']",19.1548,7.593,9720,True,Byron Howard,Stephanie Beatriz,126289554,0.48333181356343086,2021,Walt Disney Animation Studios,Animation,Comedy,Family
Captain Marvel,152000000,1131416446,124,"['Action', 'Adventure', 'Science Fiction']",19.141,6.801,16052,True,Ryan Fleck,Brie Larson,979416446,0.865655125893406,2019,Marvel Studios,Action,Adventure,Science Fiction
Kingdom of the Planet of the Apes,160000000,397378150,145,"['Science Fiction', 'Adventure', 'Action', 'Drama', 'Thriller']",19.0917,7.073,3735,True,Wes Ball,Owen Teague,237378150,0.5973608513704138,2024,20th Century Studios,Science Fiction,Adventure,Action
